id,department,program,semester,section
S_CS_BS_03A012,CS,BS,3,3A
S_CS_BS_03A013,CS,BS,3,3A
S_CS_BS_03A014,CS,BS,3,3A
S_CS_BS_03A015,CS,BS,3,3A
S_CS_BS_03A016,CS,BS,3,3A
S_CS_BS_03A017,CS,BS,3,3A
S_CS_BS_03A018,CS,BS,3,3A
S_CS_BS_03A019,CS,BS,3,3A
S_CS_BS_03A020,CS,BS,3,3A
S_CS_BS_03A021,CS,BS,3,3A
S_CS_BS_03A022,CS,BS,3,3A
S_CS_BS_03A023,CS,BS,3,3A
S_CS_BS_03A024,CS,BS,3,3A
S_CS_BS_03A025,CS,BS,3,3A
S_CS_BS_03A026,CS,BS,3,3A
S_CS_BS_03A027,CS,BS,3,3A
S_CS_BS_03A028,CS,BS,3,3A
S_CS_BS_03A029,CS,BS,3,3A
S_CS_BS_03A030,CS,BS,3,3A
S_CS_BS_03A031,CS,BS,3,3A
S_CS_BS_03A032,CS,BS,3,3A
S_CS_BS_03A033,CS,BS,3,3A
S_CS_BS_03A034,CS,BS,3,3A
S_CS_BS_03A035,CS,BS,3,3A
S_CS_BS_03A036,CS,BS,3,3A
S_CS_BS_03A037,CS,BS,3,3A
S_CS_BS_03A038,CS,BS,3,3A
S_CS_BS_03A039,CS,BS,3,3A
S_CS_BS_03B001,CS,BS,3,3B
S_CS_BS_03B002,CS,BS,3,3B
S_CS_BS_03B003,CS,BS,3,3B
S_CS_BS_03B004,CS,BS,3,3B
S_CS_BS_03B005,CS,BS,3,3B
S_CS_BS_03B006,CS,BS,3,3B
S_CS_BS_03B007,CS,BS,3,3B
S_CS_BS_03B008,CS,BS,3,3B
S_CS_BS_03B009,CS,BS,3,3B
S_CS_BS_03B010,CS,BS,3,3B
S_CS_BS_03B011,CS,BS,3,3B
S_CS_BS_03B012,CS,BS,3,3B
S_CS_BS_03B013,CS,BS,3,3B
S_CS_BS_03B014,CS,BS,3,3B
S_CS_BS_03B015,CS,BS,3,3B
S_CS_BS_03B016,CS,BS,3,3B
S_CS_BS_03B017,CS,BS,3,3B
S_CS_BS_03B018,CS,BS,3,3B
S_CS_BS_03B019,CS,BS,3,3B
S_CS_BS_03B020,CS,BS,3,3B
S_CS_BS_03B021,CS,BS,3,3B
S_CS_BS_03B022,CS,BS,3,3B
S_CS_BS_03B023,CS,BS,3,3B
S_CS_BS_03B024,CS,BS,3,3B
S_CS_BS_03B025,CS,BS,3,3B
S_CS_BS_03B026,CS,BS,3,3B
S_CS_BS_03B027,CS,BS,3,3B
S_CS_BS_03B028,CS,BS,3,3B
S_CS_BS_03B029,CS,BS,3,3B
S_CS_BS_03B030,CS,BS,3,3B
S_CS_BS_03B031,CS,BS,3,3B
S_CS_BS_03B032,CS,BS,3,3B
S_CS_BS_03B033,CS,BS,3,3B
S_CS_BS_03B034,CS,BS,3,3B
S_CS_BS_03B035,CS,BS,3,3B
S_CS_BS_03B036,CS,BS,3,3B
S_CS_BS_03B037,CS,BS,3,3B
S_CS_BS_03B038,CS,BS,3,3B
S_CS_BS_03B039,CS,BS,3,3B
S_CS_BS_03B040,CS,BS,3,3B
S_CS_BS_03B041,CS,BS,3,3B
S_CS_BS_03B042,CS,BS,3,3B
S_CS_BS_03B043,CS,BS,3,3B
S_CS_BS_03B044,CS,BS,3,3B
S_CS_BS_03B045,CS,BS,3,3B
S_CS_BS_03B046,CS,BS,3,3B
S_CS_BS_03B047,CS,BS,3,3B
S_CS_BS_03B048,CS,BS,3,3B
S_CS_BS_03C001,CS,BS,3,3C
S_CS_BS_03C002,CS,BS,3,3C
S_CS_BS_03C003,CS,BS,3,3C
S_CS_BS_03C004,CS,BS,3,3C
S_CS_BS_03C005,CS,BS,3,3C
S_CS_BS_03C006,CS,BS,3,3C
S_CS_BS_03C007,CS,BS,3,3C
S_CS_BS_03C008,CS,BS,3,3C
S_CS_BS_03C009,CS,BS,3,3C
S_CS_BS_03C010,CS,BS,3,3C
S_CS_BS_03C011,CS,BS,3,3C
S_CS_BS_03C012,CS,BS,3,3C
S_CS_BS_03C013,CS,BS,3,3C
S_CS_BS_03C014,CS,BS,3,3C
S_CS_BS_03C015,CS,BS,3,3C
S_CS_BS_03C016,CS,BS,3,3C
S_CS_BS_03C017,CS,BS,3,3C
S_CS_BS_03C018,CS,BS,3,3C
S_CS_BS_03C019,CS,BS,3,3C
S_CS_BS_03C020,CS,BS,3,3C
S_CS_BS_03C021,CS,BS,3,3C
S_CS_BS_03C022,CS,BS,3,3C
S_CS_BS_03C023,CS,BS,3,3C
S_CS_BS_03C024,CS,BS,3,3C
S_CS_BS_03C025,CS,BS,3,3C
S_CS_BS_03C026,CS,BS,3,3C
S_CS_BS_03C027,CS,BS,3,3C
S_CS_BS_03C028,CS,BS,3,3C
S_CS_BS_03C029,CS,BS,3,3C
S_CS_BS_03C030,CS,BS,3,3C
S_CS_BS_03C031,CS,BS,3,3C
S_CS_BS_03C032,CS,BS,3,3C
S_CS_BS_03C033,CS,BS,3,3C
S_CS_BS_03C034,CS,BS,3,3C
S_CS_BS_03C035,CS,BS,3,3C
S_CS_BS_03C036,CS,BS,3,3C
S_CS_BS_03C037,CS,BS,3,3C
S_CS_BS_03C038,CS,BS,3,3C
S_CS_BS_03C039,CS,BS,3,3C
S_CS_BS_04A001,CS,BS,4,4A
S_CS_BS_04A002,CS,BS,4,4A
S_CS_BS_04A003,CS,BS,4,4A
S_CS_BS_04A004,CS,BS,4,4A
S_CS_BS_04A005,CS,BS,4,4A
S_CS_BS_04A006,CS,BS,4,4A
S_CS_BS_04A007,CS,BS,4,4A
S_CS_BS_04A008,CS,BS,4,4A
S_CS_BS_04A009,CS,BS,4,4A
S_CS_BS_04A010,CS,BS,4,4A
S_CS_BS_04A011,CS,BS,4,4A
S_CS_BS_04A012,CS,BS,4,4A
S_CS_BS_04A013,CS,BS,4,4A
S_CS_BS_04A014,CS,BS,4,4A
S_CS_BS_04A015,CS,BS,4,4A
S_CS_BS_04A016,CS,BS,4,4A
S_CS_BS_04A017,CS,BS,4,4A
S_CS_BS_04A018,CS,BS,4,4A
S_CS_BS_04A019,CS,BS,4,4A
S_CS_BS_04A020,CS,BS,4,4A
S_CS_BS_04A021,CS,BS,4,4A
S_CS_BS_04A022,CS,BS,4,4A
S_CS_BS_04A023,CS,BS,4,4A
S_CS_BS_04A024,CS,BS,4,4A
S_CS_BS_04A025,CS,BS,4,4A
S_CS_BS_04A026,CS,BS,4,4A
S_CS_BS_04A027,CS,BS,4,4A
S_CS_BS_04A028,CS,BS,4,4A
S_CS_BS_04A029,CS,BS,4,4A
S_CS_BS_04A030,CS,BS,4,4A
S_CS_BS_04A031,CS,BS,4,4A
S_CS_BS_04A032,CS,BS,4,4A
S_CS_BS_04A033,CS,BS,4,4A
S_CS_BS_04A034,CS,BS,4,4A
S_CS_BS_04A035,CS,BS,4,4A
S_CS_BS_04A036,CS,BS,4,4A
S_CS_BS_04B001,CS,BS,4,4B
S_CS_BS_04B002,CS,BS,4,4B
S_CS_BS_04B003,CS,BS,4,4B
S_CS_BS_04B004,CS,BS,4,4B
S_CS_BS_04B005,CS,BS,4,4B
S_CS_BS_04B006,CS,BS,4,4B
S_CS_BS_04B007,CS,BS,4,4B
S_CS_BS_04B008,CS,BS,4,4B
S_CS_BS_04B009,CS,BS,4,4B
S_CS_BS_04B010,CS,BS,4,4B
S_CS_BS_04B011,CS,BS,4,4B
S_CS_BS_04B012,CS,BS,4,4B
S_CS_BS_04B013,CS,BS,4,4B
S_CS_BS_04B014,CS,BS,4,4B
S_CS_BS_04B015,CS,BS,4,4B
S_CS_BS_04B016,CS,BS,4,4B
S_CS_BS_04B017,CS,BS,4,4B
S_CS_BS_04B018,CS,BS,4,4B
S_CS_BS_04B019,CS,BS,4,4B
S_CS_BS_04B020,CS,BS,4,4B
S_CS_BS_04B021,CS,BS,4,4B
S_CS_BS_04B022,CS,BS,4,4B
S_CS_BS_04B023,CS,BS,4,4B
S_CS_BS_04B024,CS,BS,4,4B
S_CS_BS_04B025,CS,BS,4,4B
S_CS_BS_04B026,CS,BS,4,4B
S_CS_BS_04B027,CS,BS,4,4B
S_CS_BS_04B028,CS,BS,4,4B
S_CS_BS_04B029,CS,BS,4,4B
S_CS_BS_04B030,CS,BS,4,4B
S_CS_BS_04B031,CS,BS,4,4B
S_CS_BS_04B032,CS,BS,4,4B
S_CS_BS_04B033,CS,BS,4,4B
S_CS_BS_04B034,CS,BS,4,4B
S_CS_BS_04B035,CS,BS,4,4B
S_CS_BS_04B036,CS,BS,4,4B
S_CS_BS_04B037,CS,BS,4,4B
S_CS_BS_04B038,CS,BS,4,4B
S_CS_BS_04B039,CS,BS,4,4B
S_CS_BS_04B040,CS,BS,4,4B
S_CS_BS_04B041,CS,BS,4,4B
S_CS_BS_04B042,CS,BS,4,4B
S_CS_BS_04B043,CS,BS,4,4B
S_CS_BS_04B044,CS,BS,4,4B
S_CS_BS_04C001,CS,BS,4,4C
S_CS_BS_04C002,CS,BS,4,4C
S_CS_BS_04C003,CS,BS,4,4C
S_CS_BS_04C004,CS,BS,4,4C
S_CS_BS_04C005,CS,BS,4,4C
S_CS_BS_04C006,CS,BS,4,4C
S_CS_BS_04C007,CS,BS,4,4C
S_CS_BS_04C008,CS,BS,4,4C
S_CS_BS_04C009,CS,BS,4,4C
S_CS_BS_04C010,CS,BS,4,4C
S_CS_BS_04C011,CS,BS,4,4C
S_CS_BS_04C012,CS,BS,4,4C
S_CS_BS_04C013,CS,BS,4,4C
S_CS_BS_04C014,CS,BS,4,4C
S_CS_BS_04C015,CS,BS,4,4C
S_CS_BS_04C016,CS,BS,4,4C
S_CS_BS_04C017,CS,BS,4,4C
S_CS_BS_04C018,CS,BS,4,4C
S_CS_BS_04C019,CS,BS,4,4C
S_CS_BS_04C020,CS,BS,4,4C
S_CS_BS_04C021,CS,BS,4,4C
S_CS_BS_04C022,CS,BS,4,4C
S_CS_BS_04C023,CS,BS,4,4C
S_CS_BS_04C024,CS,BS,4,4C
S_CS_BS_04C025,CS,BS,4,4C
S_CS_BS_04C026,CS,BS,4,4C
S_CS_BS_04C027,CS,BS,4,4C
S_CS_BS_04C028,CS,BS,4,4C
S_CS_BS_04C029,CS,BS,4,4C
S_CS_BS_04C030,CS,BS,4,4C
S_CS_BS_04C031,CS,BS,4,4C
S_CS_BS_04C032,CS,BS,4,4C
S_CS_BS_04C033,CS,BS,4,4C
S_CS_BS_04C034,CS,BS,4,4C
S_CS_BS_04C035,CS,BS,4,4C
S_CS_BS_04C036,CS,BS,4,4C
S_CS_BS_04C037,CS,BS,4,4C
S_CS_BS_04C038,CS,BS,4,4C
S_CS_BS_04C039,CS,BS,4,4C
S_CS_BS_04C040,CS,BS,4,4C
S_CS_BS_04C041,CS,BS,4,4C
S_CS_BS_04C042,CS,BS,4,4C
S_CS_BS_04C043,CS,BS,4,4C
S_CS_BS_04C044,CS,BS,4,4C
S_CS_BS_04C045,CS,BS,4,4C
S_CS_BS_04C046,CS,BS,4,4C
S_CS_BS_05A001,CS,BS,5,5A
S_CS_BS_05A002,CS,BS,5,5A
S_CS_BS_05A003,CS,BS,5,5A
S_CS_BS_05A004,CS,BS,5,5A
S_CS_BS_05A005,CS,BS,5,5A
S_CS_BS_05A006,CS,BS,5,5A
S_CS_BS_05A007,CS,BS,5,5A
S_CS_BS_05A008,CS,BS,5,5A
S_CS_BS_05A009,CS,BS,5,5A
S_CS_BS_05A010,CS,BS,5,5A
S_CS_BS_05A011,CS,BS,5,5A
S_CS_BS_05A012,CS,BS,5,5A
S_CS_BS_05A013,CS,BS,5,5A
S_CS_BS_05A014,CS,BS,5,5A
S_CS_BS_05A015,CS,BS,5,5A
S_CS_BS_05A016,CS,BS,5,5A
S_CS_BS_05A017,CS,BS,5,5A
S_CS_BS_05A018,CS,BS,5,5A
S_CS_BS_05A019,CS,BS,5,5A
S_CS_BS_05A020,CS,BS,5,5A
S_CS_BS_05A021,CS,BS,5,5A
S_CS_BS_05A022,CS,BS,5,5A
S_CS_BS_05A023,CS,BS,5,5A
S_CS_BS_05A024,CS,BS,5,5A
S_CS_BS_05A025,CS,BS,5,5A
S_CS_BS_05A026,CS,BS,5,5A
S_CS_BS_05A027,CS,BS,5,5A
S_CS_BS_05A028,CS,BS,5,5A
S_CS_BS_05A029,CS,BS,5,5A
S_CS_BS_05A030,CS,BS,5,5A
S_CS_BS_05A031,CS,BS,5,5A
S_CS_BS_05A032,CS,BS,5,5A
S_CS_BS_05A033,CS,BS,5,5A
S_CS_BS_05A034,CS,BS,5,5A
S_CS_BS_05A035,CS,BS,5,5A
S_CS_BS_05A036,CS,BS,5,5A
S_CS_BS_05B001,CS,BS,5,5B
S_CS_BS_05B002,CS,BS,5,5B
S_CS_BS_05B003,CS,BS,5,5B
S_CS_BS_05B004,CS,BS,5,5B
S_CS_BS_05B005,CS,BS,5,5B
S_CS_BS_05B006,CS,BS,5,5B
S_CS_BS_05B007,CS,BS,5,5B
S_CS_BS_05B008,CS,BS,5,5B
S_CS_BS_05B009,CS,BS,5,5B
S_CS_BS_05B010,CS,BS,5,5B
S_CS_BS_05B011,CS,BS,5,5B
S_CS_BS_05B012,CS,BS,5,5B
S_CS_BS_05B013,CS,BS,5,5B
S_CS_BS_05B014,CS,BS,5,5B
S_CS_BS_05B015,CS,BS,5,5B
S_CS_BS_05B016,CS,BS,5,5B
S_CS_BS_05B017,CS,BS,5,5B
S_CS_BS_05B018,CS,BS,5,5B
S_CS_BS_05B019,CS,BS,5,5B
S_CS_BS_05B020,CS,BS,5,5B
S_CS_BS_05B021,CS,BS,5,5B
S_CS_BS_05B022,CS,BS,5,5B
S_CS_BS_05B023,CS,BS,5,5B
S_CS_BS_05B024,CS,BS,5,5B
S_CS_BS_05B025,CS,BS,5,5B
S_CS_BS_05B026,CS,BS,5,5B
S_CS_BS_05B027,CS,BS,5,5B
S_CS_BS_05B028,CS,BS,5,5B
S_CS_BS_05B029,CS,BS,5,5B
S_CS_BS_05B030,CS,BS,5,5B
S_CS_BS_05B031,CS,BS,5,5B
S_CS_BS_05B032,CS,BS,5,5B
S_CS_BS_05B033,CS,BS,5,5B
S_CS_BS_05B034,CS,BS,5,5B
S_CS_BS_05B035,CS,BS,5,5B
S_CS_BS_05B036,CS,BS,5,5B
S_CS_BS_05B037,CS,BS,5,5B
S_CS_BS_05B038,CS,BS,5,5B
S_CS_BS_05B039,CS,BS,5,5B
S_CS_BS_05B040,CS,BS,5,5B
S_CS_BS_05B041,CS,BS,5,5B
S_CS_BS_05B042,CS,BS,5,5B
S_CS_BS_05B043,CS,BS,5,5B
S_CS_BS_05B044,CS,BS,5,5B
S_CS_BS_05B045,CS,BS,5,5B
S_CS_BS_05B046,CS,BS,5,5B
S_CS_BS_05C001,CS,BS,5,5C
S_CS_BS_05C002,CS,BS,5,5C
S_CS_BS_05C003,CS,BS,5,5C
S_CS_BS_05C004,CS,BS,5,5C
S_CS_BS_05C005,CS,BS,5,5C
S_CS_BS_05C006,CS,BS,5,5C
S_CS_BS_05C007,CS,BS,5,5C
S_CS_BS_05C008,CS,BS,5,5C
S_CS_BS_05C009,CS,BS,5,5C
S_CS_BS_05C010,CS,BS,5,5C
S_CS_BS_05C011,CS,BS,5,5C
S_CS_BS_05C012,CS,BS,5,5C
S_CS_BS_05C013,CS,BS,5,5C
S_CS_BS_05C014,CS,BS,5,5C
S_CS_BS_05C015,CS,BS,5,5C
S_CS_BS_05C016,CS,BS,5,5C
S_CS_BS_05C017,CS,BS,5,5C
S_CS_BS_05C018,CS,BS,5,5C
S_CS_BS_05C019,CS,BS,5,5C
S_CS_BS_05C020,CS,BS,5,5C
S_CS_BS_05C021,CS,BS,5,5C
S_CS_BS_05C022,CS,BS,5,5C
S_CS_BS_05C023,CS,BS,5,5C
S_CS_BS_05C024,CS,BS,5,5C
S_CS_BS_05C025,CS,BS,5,5C
S_CS_BS_05C026,CS,BS,5,5C
S_CS_BS_05C027,CS,BS,5,5C
S_CS_BS_05C028,CS,BS,5,5C
S_CS_BS_05C029,CS,BS,5,5C
S_CS_BS_05C030,CS,BS,5,5C
S_CS_BS_05C031,CS,BS,5,5C
S_CS_BS_05C032,CS,BS,5,5C
S_CS_BS_05C033,CS,BS,5,5C
S_CS_BS_05C034,CS,BS,5,5C
S_CS_BS_05C035,CS,BS,5,5C
S_CS_BS_05C036,CS,BS,5,5C
S_CS_BS_05C037,CS,BS,5,5C
S_CS_BS_05C038,CS,BS,5,5C
S_CS_BS_05C039,CS,BS,5,5C
S_CS_BS_05C040,CS,BS,5,5C
S_CS_BS_05C041,CS,BS,5,5C
S_CS_BS_06A001,CS,BS,6,6A
